iter	Passed	Remaining
720	14500	45834
721	14519	45811
722	14542	45800
723	14560	45771
724	14577	45741
725	14593	45709
726	14609	45678
727	14627	45652
728	14646	45628
729	14664	45600
730	14670	45536
731	14685	45501
732	14701	45469
733	14719	45441
734	14739	45422
735	14758	45398
736	14775	45370
737	14793	45342
738	14810	45313
739	14828	45285
740	14844	45255
741	14861	45225
742	14877	45194
743	14896	45169
744	14913	45141
745	14931	45113
746	14948	45086
747	14966	45060
748	14984	45033
749	15004	45013
750	15024	44994
751	15041	44964
752	15056	44930
753	15074	44902
754	15092	44878
755	15109	44848
756	15124	44813
757	15138	44776
758	15152	44739
759	15167	44704
760	15182	44669
761	15198	44636
762	15213	44604
763	15229	44571
764	15245	44539
765	15260	44507
766	15278	44479
767	15293	44447
768	15309	44415
769	15326	44386
770	15342	44356
771	15358	44325
772	15374	44293
773	15391	44265
774	15410	44241
775	15427	44214
776	15444	44185
777	15460	44154
778	15475	44122
779	15491	44092
780	15507	44061
781	15524	44032
782	15543	44010
783	15563	43990
784	15580	43963
785	15597	43934
786	15613	43902
787	15628	43871
788	15644	43840
789	15660	43810
790	15676	43779
791	15692	43749
792	15708	43719
793	15725	43691
794	15741	43660
795	15758	43631
796	15776	43608
797	15792	43577
798	15808	43548
799	15825	43519
800	15841	43490
801	15857	43460
802	15875	43435
803	15891	43404
804	15906	43373
805	15922	43342
806	15938	43312
807	15954	43281
808	15970	43251
809	15986	43222
810	16002	43192
811	16018	43162
812	16034	43132
813	16051	43106
814	16067	43077
815	16085	43052
816	16104	43030
817	16120	43002
818	16136	42971
819	16151	42939
820	16167	42909
821	16182	42877
822	16198	42849
823	16214	42818
824	16230	42788
825	16246	42761
826	16264	42735
827	16280	42707
828	16296	42676
829	16312	42648
830	16331	42627
831	16347	42598
832	16364	42571
833	16381	42545
834	16400	42522
835	16418	42499
836	16435	42473
837	16451	42444
838	16468	42417
839	16484	42389
840	16501	42362
841	16517	42332
842	16533	42305
843	16549	42275
844	16567	42251
845	16583	42222
846	16599	42195
847	16615	42166
848	16633	42141
849	16650	42115
850	16667	42090
851	16694	42089
852	16710	42061
853	16727	42033
854	16744	42007
855	16762	41985
856	16778	41956
857	16796	41931
858	16812	41904
859	16828	41876
860	16844	41847
861	16863	41826
862	16881	41802
863	16899	41779
864	16916	41754
865	16933	41728
866	16952	41706
867	16968	41679
868	16985	41652
869	16995	41610
870	17021	41604
871	17039	41583
872	17057	41558
873	17076	41537
874	17096	41519
875	17115	41498
876	17130	41469
877	17147	41443
878	17163	41415
879	17178	41383
880	17192	41352
881	17207	41320
882	17222	41290
883	17237	41260
884	17253	41231
885	17269	41205
886	17286	41179
887	17301	41150
888	17317	41121
889	17333	41093
890	17349	41065
891	17365	41037
892	17381	41011
893	17398	40984
894	17403	40933
895	17420	40906
896	17436	40879
897	17454	40855
898	17455	40794
899	17471	40767
900	17487	40739
901	17503	40711
902	17519	40684
903	17534	40656
904	17551	40629
905	17566	40601
906	17583	40575
907	17600	40551
908	17616	40524
909	17633	40498
910	17649	40471
911	17665	40445
912	17681	40418
913	17697	40389
914	17713	40362
915	17730	40338
916	17748	40315
917	17764	40288
918	17779	40260
919	17788	40217
920	17804	40190
921	17820	40164
922	17836	40137
923	17853	40113
924	17870	40088
925	17887	40063
926	17903	40037
927	17919	40010
928	17937	39987
929	17953	39960
930	17969	39934
931	17986	39909
932	18002	39883
933	18018	39857
934	18035	39833
935	18053	39810
936	18071	39787
937	18087	39760
938	18103	39735
939	18119	39708
940	18134	39680
941	18149	39652
942	18173	39642
943	18188	39612
944	18203	39584
945	18218	39557
946	18234	39529
947	18250	39503
948	18266	39478
949	18283	39453
950	18299	39426
951	18315	39401
952	18332	39377
953	18349	39352
954	18368	39332
955	18385	39310
956	18402	39286
957	18418	39260
958	18434	39233
959	18450	39207
960	18466	39180
961	18482	39156
962	18498	39129
963	18514	39103
964	18530	39077
965	18547	39052
966	18563	39026
967	18579	39000
968	18596	38976
969	18613	38954
970	18630	38929
971	18646	38904
972	18663	38879
973	18679	38855
974	18695	38830
975	18712	38805
976	18731	38784
977	18747	38759
978	18763	38734
979	18779	38708
980	18795	38682
981	18812	38658
982	18828	38634
983	18846	38611
984	18863	38589
985	18879	38564
986	18896	38539
987	18912	38515
988	18928	38489
989	18944	38463
990	18960	38438
991	18977	38415
992	18994	38390
993	19015	38376
994	19035	38357
995	19053	38335
996	19072	38316
997	19089	38293
998	19106	38270
999	19123	38247
1000	19140	38223
1001	19156	38198
1002	19171	38171
1003	19175	38121
1004	19189	38092
1005	19204	38064
1006	19219	38037
1007	19235	38012
1008	19253	37991
1009	19259	37946
1010	19275	37922
1011	19292	37897
1012	19308	37874
1013	19325	37849
1014	19343	37829
1015	19361	37808
1016	19379	37787
1017	19396	37764
1018	19412	37739
1019	19428	37714
1020	19445	37690
1021	19460	37664
1022	19476	37638
1023	19492	37613
1024	19508	37589
1025	19532	37580
1026	19549	37556
1027	19565	37531
